,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
what is being transported?;what is transported?,0.93,1,,
what is something deposited on?;what is something deposited in?,0.954,1,,
what is something deposited on?;what is something deposited at?,0.943,1,,
what does something fill with?;what does something fill?,0.901,1,,
what does something grow on?;what does something grow in?,0.925,1,,
what is made something?;what is making something?,0.91,1,,
what is reused?;what is being reused?,0.902,1,,
what does something travel to?;what does something travel from?,0.919,0,,
what is absorbed into something?;what is absorbed by something?,0.94,0,,
what is caused?;what is being caused?,0.919,1,,
what is being expelled?;what is expelled?,0.908,1,,
what is being captured?;what is captured?,0.917,1,,
who uses something?;who would use something?,0.925,1,,
what is formed?;what is being formed?,0.923,1,,
what does something flow?;what does something flow to?,0.904,1,,
what does something move?;what does something move to?,0.858,1,,
what is being released?;what will be released?,0.888,1,86.70%,0.9
what does something cause?;what does something cause to do something?,0.898,1,,
what is formed?;what formed?,0.861,1,,
what is exposed?;what is exposed to something?,0.861,1,,
what makes something?;what can make something?,0.87,1,,
what is being removed?;what can be removed?,0.881,1,,
what is something produced by?;what does something produce?,0.854,0,,
what starts to do something?;what begins to do something?,0.882,1,,
what produces?;what is produced?,0.893,0,,
what drops something?;who drops something?,0.893,1,,
what did something cause?;what does something cause to do something?,0.859,1,,
what was something absorbed into?;what is something absorbed by?,0.893,0,,
what does something turn into?;what can something be turned into?,0.893,1,,
what is making something?;who is making something?,0.899,1,80.00%,0.85-0.9
what caused something?;what causes something to do something?,0.809,1,,
what does something capture?;what is something captured by?,0.823,0,,
what does something fill with?;what is something being filled with?,0.829,1,,
what captures something?;what is capturing something?,0.837,1,,
what is being caused?;what isn't being caused?,0.826,0,,
what does something fill with?;what is something filled to?,0.822,1,,
what passes through something?;what travels through something?,0.83,1,,
what starts?;what begins?,0.843,1,,
what becomes?;what is become?,0.811,1,,
what does something break?;what does something break into?,0.801,1,,
what does something push out?;what is something pushed out of?,0.822,1,,
what is removed?;what can be removed?,0.84,1,,
what is absorbed?;what is absorbed by something?,0.839,1,,
what is being closed?;what closes?,0.81,0,,
what sticks somewhere?;what sticks?,0.823,1,80.00%,0.8-0.85
what makes something do something?;what can make something?,0.763,1,,
what produces?;what is produced by something?,0.752,0,,
what rises?;what is rising?,0.763,1,,
what does something go through?;what does something pass through?,0.782,1,,
what is built?;what builds?,0.798,0,,
what is cooled?;what is cooling?,0.779,0,,
what washes somewhere?;what washes through something?,0.754,1,,
what was absorbed into something?;what is being absorbed?,0.792,1,,
what does something transport?;what is something transported to?,0.793,1,,
what can be used by something?;what is used?,0.773,1,,
what is produced by something?;what is being produced?,0.773,1,,
who takes?;what takes?,0.751,1,,
what passes through something?;what goes through something?,0.785,1,,
what can use something?;who is using something?,0.776,1,,
what forms something?;what makes something something?,0.757,1,80.00%,0.75-0.8
what falls somewhere?;what falls from something?,0.713,0,,
what goes somewhere?;what is moved somewhere?,0.726,1,,
what is carried somewhere?;what is being carried?,0.735,1,,
what is transported somewhere?;what travels somewhere?,0.711,1,,
what travels somewhere?;who goes somewhere?,0.715,1,,
what consumes something?;what eats something?,0.718,1,,
