,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AnnotatorID,Set number,samples,,,,,,grade,,,,,
Expert,1,1-5,Close Analogy,Not Analogy,Self Analogy,Far Analogy,Sub Analogy,,,,,,
11,1,1-5,Sub Analogy,Not Analogy,Self Analogy,Sub Analogy,Sub Analogy,60,,,,,
5,1,1-5,Close Analogy,Not Analogy,Self Analogy,Far Analogy,Far Analogy,80,,,,,
18,1,1-5,Close Analogy,Not Analogy,Self Analogy,Far Analogy,Sub Analogy,100,,,#correct answers,#people,#percent
,,,,,,,,,,,5,4,0.2666666667
,,,,,,,,,,,4,5,0.3333333333
Expert,2,6-10,Far Analogy,Self Analogy,Sub Analogy,Not Analogy,Close Analogy,,,,3,3,0.2
6,2,6-10,Close Analogy,Self Analogy,Far Analogy,Not Analogy,Sub Analogy,40,,,2,3,0.2
17,2,6-10,Close Analogy,Self Analogy,Close Analogy,Not Analogy,Self Analogy,40,,,,,
9,2,6-10,Far Analogy,Self Analogy,Sub Analogy,Not Analogy,Close Analogy,100,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Expert,3,11-15,Close Analogy,Self Analogy,Not Analogy,Far Analogy,Far Analogy,,,,,,
1,3,11-15,Close Analogy,Self Analogy,Not Analogy,Sub Analogy,Far Analogy,80,,,,,
2,3,11-15,Sub Analogy,Self Analogy,Not Analogy,Far Analogy,Not Analogy,60,,,,,
19,3,11-15,Far Analogy,Self Analogy,Far Analogy,Not Analogy,Far Analogy,40,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Expert,4,16-20,Far Analogy,Self Analogy,Not Analogy,Close Analogy,Sub Analogy,,,,,,
16,4,16-20,Far Analogy,Self Analogy,Not Analogy,Close Analogy,Sub Analogy,100,,,,,
7,4,16-20,Far Analogy,Self Analogy,Not Analogy,Close Analogy,Sub Analogy,100,,,,,
10,4,16-20,Close Analogy,Self Analogy,Not Analogy,Close Analogy,Sub Analogy,80,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Expert,5,21-25,Self Analogy,Close Analogy,Not Analogy,Sub Analogy,Sub Analogy,,,,,,
15,5,21-25,Self Analogy,Sub Analogy,Not Analogy,Sub Analogy,Sub Analogy,80,,,,,
14,5,21-25,Self Analogy,Self Analogy,Not Analogy,Sub Analogy,Sub Analogy,80,,,,,
4,5,21-25,Self Analogy,Self Analogy,Not Analogy,Far Analogy,Sub Analogy,60,,,,,
