base,target,#model(top 1) mappings from GT entities,#model(top 1) correct mappings,#model(top 3) mappings from GT entities,#model (top3) correct mappings,#GT mappings,analogy type,,P@1,R@1,P@3,R@3
490,1158,4,2,4,3,6,Self,,0.5,0.3333333333,0.75,0.5
552,626,2,1,2,2,3,Self,,0.5,0.3333333333,1,0.6666666667
524,645,3,1,3,1,3,Self,,0.3333333333,0.3333333333,0.3333333333,0.3333333333
393,392,4,0,4,1,5,Self,,0,0,0.25,0.2
587,588,3,1,3,1,5,Self,,0.3333333333,0.2,0.3333333333,0.2
1291,1014,3,3,3,3,3,Close,,1,1,1,1
330,938,4,1,4,2,5,Close,,0.25,0.2,0.5,0.4
779,938,3,3,3,3,5,Close,,1,0.6,1,0.6
157,882,2,1,2,1,3,Close,,0.5,0.3333333333,0.5,0.3333333333
779,330,2,0,2,0,5,Close,,0,0,0,0
644,528,3,2,3,2,5,Far,,0.6666666667,0.4,0.6666666667,0.4
1224,687,2,1,2,1,4,Far,,0.5,0.25,0.5,0.25
1127,7,3,2,3,2,3,Far,,0.6666666667,0.6666666667,0.6666666667,0.6666666667
1158,315,2,1,2,1,3,Far,,0.5,0.3333333333,0.5,0.3333333333
,,,,,,,,,,,,
Total,,40,19,40,23,58,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,7,17,,,,,,
,,,,,10,26,,,,,,
,,,,,6,15,,,,,,
,,,,,,,,each example diff. weight according to #mappings,Total P@1,Total R@1,Total P@3,Total R@3
,,,,,,,,Total,0.475,0.3275862069,0.575,0.3965517241
,,,,,,,,,,,,
,,,,,,,,,Total F@1,,Total F@3,
,,,,,,,,,0.387755102,,0.4693877551,
