base (paragraph ID),target(paragraph ID),#model(top 1) mappings from GT entities,#model(top 1) correct mappings,#model(top 3) mappings from GT entities,#model (top3) correct mappings,#GT mappings,analogy type,,P@1,R@1,P@3,R@3
490,1158,4,4,4,4,6,Self,,1,0.6666666667,1,0.6666666667
552,626,2,1,2,2,3,Self,,0.5,0.3333333333,1,0.6666666667
524,645,3,2,3,3,3,Self,,0.6666666667,0.6666666667,1,1
393,392,5,3,5,3,5,Self,,0.6,0.6,0.6,0.6
587,588,3,3,3,3,5,Self,,1,0.6,1,0.6
1291,1014,3,3,3,3,3,Close,,1,1,1,1
330,938,5,4,5,4,5,Close,,0.8,0.8,0.8,0.8
779,938,5,3,5,3,5,Close,,0.6,0.6,0.6,0.6
157,882,2,2,2,2,3,Close,,1,0.6666666667,1,0.6666666667
779,330,3,2,3,2,5,Close,,0.6666666667,0.4,0.6666666667,0.4
644,528,3,3,3,3,5,Far,,1,0.6,1,0.6
1224,687,2,2,2,2,4,Far,,1,0.5,1,0.5
1127,7,3,3,3,3,3,Far,,1,1,1,1
1158,315,2,2,2,2,3,Far,,1,0.6666666667,1,0.6666666667
,,,,,,,,,,,,
Total,,45,37,45,39,58,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,12,17,,,,,,
,,,,,17,26,,,,,,
,,,,,10,15,,,,,,
,,,,,,,,each example diff. weight according to #mappings,Total P@1,Total R@1,Total P@3,Total R@3
,,,,,,,,Total,0.8222222222,0.6379310345,0.8666666667,0.6724137931
,,,,,,,,,,,,
,,,,,,,,,Total F@1,,Total F@3,
,,,,,,,,,0.7184466019,,0.7572815534,
