base,target,#model(top 1) mappings from GT entities,#model(top 1) correct mappings,#model(top 3) mappings from GT entities,#model (top3) correct mappings,#GT mappings,,,P@1,R@1,P@3,R@3
the general,the surgeon,3,3,3,3,5,,,1,0.6,1,0.6
story1 base,story1 target,2,1,2,1,3,,,1,0.3333333333,0.5,0.3333333333
story2 base,story2 target,5,4,5,5,6,,,0.8,0.6666666667,1,0.8333333333
story3 base,story3 target,2,2,2,2,3,,,1,0.6666666667,1,0.6666666667
story4 base,story4 target,3,0,3,0,4,,,0,0,0,0
story5 base,story5 target,2,1,2,1,5,,,0.5,0.2,0.5,0.2
story8 base,story8 target,3,3,3,3,4,,,1,0.75,1,0.75
story11 base,story11 target,4,2,4,4,5,,,0.5,0.4,1,0.8
story12 base,story12 target,5,3,5,3,5,,,0.6,0.6,0.6,0.6
story13 base,story13 target,4,2,4,2,5,,,0.5,0.4,0.5,0.4
story14 base,story14 target,3,3,3,3,6,,,1,0.5,1,0.5
story16 base,story16 target,4,3,4,3,4,,,0.75,0.75,0.75,0.75
story17 base,story17 target,3,2,3,3,5,,,0.6666666667,0.4,1,0.6
story18 base,story18 target,2,0,2,0,3,,,0,0,0,0
,,,,,,,,,,,,
,,45,29,45,33,63,,,,,,
,,,,,,,,each example diff. weight according to #mappings,Total P@1(*),Total R@1(*),Total P@3(*),Total R@3(*)
,,,,,,,,,0.6444444444,0.4603174603,0.7333333333,0.5238095238
,,,,,,,,,,,,
,,,,,,,,,Total F@1,,Total F@3,
,,,,,,,,,0.537037037,,0.6111111111,
