base (paragraph ID),target (paragraph ID),Annotator ID,Analogy Type,Ground-Truth (GT),#mappings in pair of paragraphs,total #mappings
490,1158,5,Self,blood stream -> blood stream,,58
490,1158,5,Self,food -> food,,
490,1158,5,Self,nutrients -> nutrients,,
490,1158,5,Self,acid -> enzyme,,
490,1158,5,Self,small intestine -> small intestine,,
490,1158,5,Self,esophagus -> esophagus,6,
,,,,,,
552,626,6,Self,the pancreas -> the pancreas,,
552,626,6,Self,enzymes -> juices,,
552,626,6,Self,hormone -> Insulin,3,
,,,,,,
524,645,2,Self,baby -> baby,,
524,645,2,Self,child -> child,,
524,645,2,Self,elderly person / adult -> adult,3,
,,,,,,
393,392,10,Self,the steam -> the pressure of the steam,,
393,392,10,Self,the generator -> the magnets,,
393,392,10,Self,electricity -> electricity,,
393,392,10,Self,heat -> heat,,
393,392,10,Self,water -> water,5,
,,,,,,
587,588,15,Self,butterfly -> butterfly,,
587,588,15,Self,egg -> egg,,
587,588,15,Self,adult butterfly -> female butterfly,,
587,588,15,Self,chrysalis -> coccoon,,
587,588,15,Self,caterpillar  -> larva,5,
,,,,,,
1291,1014,11,Close,Batter -> Mixture,,
1291,1014,11,Close,Griddle -> Pan,,
1291,1014,11,Close,Some cake ingredient -> some pancake ingredient,3,
,,,,,,
330,938,9,Close,Plants ->  chlorophyll in a plant,,
330,938,9,Close,Excess water and oxygen -> oxygen,,
330,938,9,Close,These inputs -> carbon dioxide,,
330,938,9,Close,Energy Sources -> nutrients,,
330,938,9,Close,Sugars -> Glucose,5,
,,,,,,
779,938,14,Close,plant –> plant,,
779,938,14,Close,glucose -> glucose,,
779,938,14,Close,carbon dioxide –> carbon dioxide,,
779,938,14,Close,oxygen -> oxygen,,
779,938,14,Close,sunlight -> light energy,5,
,,,,,,
157,882,16,Close,aluminum cans and other products / aluminum / new aluminum products -> Items that can be reused / items / new items,,
157,882,16,Close,raw parts -> ingots,,
157,882,16,Close,recycling facility -> recycling plant,3,
,,,,,,
779,330,4,Close,plants -> plants,,
779,330,4,Close,water -> minerals,,
779,330,4,Close,root system -> root,,
779,330,4,Close,glucose -> sugars,,
779,330,4,Close,Food -> energy sources,5,
,,,,,,
644,528,17,Far,baby -> litter,,
644,528,17,Far,person -> adult rabbit,,
644,528,17,Far,fetus -> new born rabbit / baby rabbit,,
644,528,17,Far,sperm -> man,,
644,528,17,Far,egg -> woman,5,
,,,,,,
1224,687,8,Far,energy and neutrons -> sun's energy,,
1224,687,8,Far,other atoms -> water molecules,,
1224,687,8,Far,The generator -> Hydrogen and carbon dioxide,,
1224,687,8,Far,Electricity -> glucose or food for plants,4,
,,,,,,
1127,7,18,Far,warm air -> magma / lava,,
1127,7,18,Far,cloud -> rock,,
1127,7,18,Far,low pressure area -> surface of the volcano,3,
,,,,,,
1158,315,19,Far,Acid and enzyme in the stomach -> roots,,
1158,315,19,Far,rock -> food,,
1158,315,19,Far,Fluid and enzymes from liver -> plants acid,3,
